name,intelligence,strength,speed,durability,power,combat,full-name,aliases,image
Cyclops,75,10,23,42,76,80,Scott Summers,ScottyCykeSlimFearless LeaderOne-EyeErik the RedSlym DayspringMutate 007Apocalypse,https://www.superherodb.com/pictures2/portraits/10/100/50.jpg
Cypher,null,44,null,null,null,null,Douglas Aaron Ramsey,-,https://www.superherodb.com/pictures2/portraits/10/100/168.jpg
Dagger,63,10,35,42,52,70,Tandy Bowen,Lady Light,https://www.superherodb.com/pictures2/portraits/10/100/51.jpg
Danny Cooper,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg
Daphne Powell,38,10,8,10,56,10,Daphne Powell,-,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg
Daredevil,75,13,25,35,61,100,Matt Murdock,"MattJack BatlinKingpin of CrimeLaurent LeVasseurMichael ""Mike"" MurdockScarlet SwashbucklerNameless OneKingpin of Hell's KitchenThe Man Without FearThe Guardian DevilDDRedHornheadCooper PeytonCaptain Universe",https://www.superherodb.com/pictures2/portraits/10/100/52.jpg
Darkhawk,50,32,33,70,74,64,Christopher Powell,Bucket-HeadEdge-ManPowell,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg
Darkman,75,14,23,85,12,28,Peyton Westlake,-,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg
Darkseid,88,100,83,100,100,95,Uxas,Dark God,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg
Darkside,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg
Darkstar,38,8,35,42,79,64,Laynia Petrovna,Tyomni Zvesda,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg
Darth Maul,56,48,50,30,100,100,,SithMaster Of The Double-Bladed Lightsaber,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg
Darth Vader,69,48,33,35,100,100,Anakin Skywalker,Lord Vader,https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg
Dash,25,12,92,60,20,30,Dashiell Robert Parr,The Fastest Kid on EarthThe Dash,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg
Data,100,32,21,40,56,50,Data,B-4,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg
Dazzler,63,10,33,60,100,55,Alison Blaire,AliThe Disco DazzlerSongbirdDazzKimberly SchauAlly,https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg
Deadman,50,10,33,100,100,42,Boston Brand,-,https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg
Deadpool,69,32,50,100,100,100,Wade Wilson,"Wade WilsonJackChiyonosake (""the Wolf of the Rice Wine"")RhodesCorpusLopezHobgoblinThom CruzPeter Parker",https://www.superherodb.com/pictures2/portraits/10/100/835.jpg
Deadshot,50,10,23,28,55,80,Floyd Lawton,Man Who Never MissesWorlds Finest AssassinOrlando Furioso,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg
Deathlok,69,32,30,70,40,60,Luther Manning,Demolisher,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg
Deathstroke,75,30,35,100,47,90,Slade Joseph Wilson,Slade WilsonDeathstroke the TerminatorBatman,https://www.superherodb.com/pictures2/portraits/10/100/672.jpg
Demogoblin,50,48,42,35,67,60,,Jason Macendale Jr,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg
Destroyer,50,95,58,98,85,70,,-,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg
Diamondback,44,16,23,28,45,60,Willis Stryker,-,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg
DL Hawkins,50,12,12,56,48,56,Daniel Lawrence Hawkins,-,https://www.superherodb.com/pictures2/portraits/10/100/943.jpg
Doc Samson,75,80,33,80,36,70,Leonard Samson,-,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg
Doctor Doom,100,32,20,100,100,84,Victor von Doom,The MasterInvincible Man,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg
Doctor Doom II,null,null,null,null,null,null,Kristoff Vernard,Victor Von DoomDr Doom,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg
Doctor Fate,81,16,25,80,100,50,Kent Nelson,Nabu,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg
Doctor Octopus,94,48,33,40,53,65,Otto Octavius,Doctor OctopusDoc OckThe Master PlannerThe Master ProgrammerPeter Benjamin ParkerSuperior Spider-ManVenomSuperior Venom,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg
Doctor Strange,100,10,12,84,100,60,Stephen Strange,Sorcerer SupremeMaster of the Mystic ArtsStephen SandersCaptain UniverseVincent Stevens,https://www.superherodb.com/pictures2/portraits/10/100/55.jpg
Domino,63,10,27,28,49,74,Neena Thurman,DomSamantha WuTamara WinterElena VladescuJessica Marie CostelloLuisa MendozaBeatriceChristina Elizabeth AliosoPriscilla SutherlandHope Eldridge,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg
Donatello,88,14,46,60,58,75,,DonDonnie,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg
Donna Troy,null,89,null,null,null,null,Donna Hinckley Stacey Troy,Donna TroyWonder GirlDarkstarWonder WomanTroia,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg
Doomsday,75,100,67,100,100,90,Doomsday,The Ultimate Lifeform,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg
Doppelganger,8,63,60,95,69,84,,The Spider-Man DoppelgangerSpider-DoppelgangerMindless One,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg
Dormammu,88,95,83,100,100,80,Dormammu,The Dread OneEater of SoulsLord of ChaosLord of Darknessthe Great EnigmaFlyx,https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg
Dr Manhattan,88,100,42,100,100,42,Jonathan Osterman,Jon OstermanDoctor Manhattan,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg
Drax the Destroyer,56,80,25,85,46,65,Arthur Sampson Douglas,-,https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg
Ego,88,80,83,99,71,28,Ego,The Living Planet,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg
Elastigirl,63,32,33,95,52,70,Helen Parr,Mrs Incredible,https://www.superherodb.com/pictures2/portraits/10/100/870.jpg
Electro,69,10,50,56,67,64,Maxwell Dillon,-,https://www.superherodb.com/pictures2/portraits/10/100/7.jpg
Elektra,63,11,30,28,59,100,Elektra Natchios,Erynys (evil self),https://www.superherodb.com/pictures2/portraits/10/100/625.jpg
Elle Bishop,50,8,12,42,63,42,,Cindy,https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg
Elongated Man,75,10,33,90,44,40,Ralph Dibny,Alvin Burgson; Molder,https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg
Emma Frost,75,63,35,90,100,42,Emma Frost,StormWhite Queen,https://www.superherodb.com/pictures2/portraits/10/100/325.jpg
Enchantress,63,14,25,60,100,40,June Moone,Anita SoulfeedaSoulsinger,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg
Energy,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg
ERG-1,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg
Ethan Hunt,75,11,29,30,26,95,Ethan Hunt,-,https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg
Etrigan,50,85,17,100,100,50,Jason Blood,Demon,https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg
Evil Deadpool,69,32,50,100,100,100,Wade Wilson,Dreadpool,https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg
Evilhawk,50,32,33,70,85,64,Dargin Bokk,-,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg
Exodus,63,81,28,28,100,70,Bennet du Paris,Paris Bennet,https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg
Fabian Cortez,null,null,null,null,null,null,Fabian Cortez,-,https://www.superherodb.com/pictures2/portraits/10/100/24.jpg
Falcon,38,13,50,28,22,64,Sam Wilson,Sam Wilson(formerly) Captain AmericaBlackbirdBlackwingBrother Superhero,https://www.superherodb.com/pictures2/portraits/10/100/56.jpg
Fallen One II,88,85,83,100,100,56,,-,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg
Faora,88,95,75,100,98,90,Faora Hu-Ul,Katie,https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg
Feral,38,28,45,28,27,70,Maria Callasantos,-,https://www.superherodb.com/pictures2/portraits/10/100/57.jpg
Fighting Spirit,null,null,null,null,null,null,Carol Carter,YanketteFighting Yank II,https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg
Fin Fang Foom,50,81,23,100,75,70,,He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation),https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg
Firebird,38,8,40,14,100,42,Bonita Juarez,Pajaro Del FuegoLa EspiritaFiremaiden,https://www.superherodb.com/pictures2/portraits/10/100/58.jpg
Firelord,38,63,75,90,52,28,Pyreus Kril,Nova Centurion,https://www.superherodb.com/pictures2/portraits/10/100/59.jpg
Firestar,50,8,54,55,71,32,Angelica Jones,AngelAnjLady Comet,https://www.superherodb.com/pictures2/portraits/10/100/60.jpg
Firestorm,50,53,58,56,100,42,Jason Rusch,The Nuclear Man,https://www.superherodb.com/pictures2/portraits/10/100/689.jpg
Firestorm,38,80,58,80,100,40,Ronald Raymond,RonnieRoyRonald RockwellFlamehead,https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg
Fixer,null,null,null,null,null,null,Paul Norbert Ebersol,Fixer,https://www.superherodb.com/pictures2/portraits/10/100/9.jpg
Flash,63,10,100,50,68,32,Jay Garrick,Jay GarrickSiegfreid the Speedster,https://www.superherodb.com/pictures2/portraits/10/100/891.jpg
Flash Gordon,null,69,null,null,null,null,Steven Gordon,-,https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg
Flash II,88,48,100,60,100,60,Barry Allen,The Scarlet Speedsterthe Fastest Man Alivethe Monarch of Motionthe Sultan of Speed,https://www.superherodb.com/pictures2/portraits/10/100/892.jpg
Flash III,63,10,100,60,100,32,Wally West,The Fastest Man AliveThe Scarlet Speedster; formerlyKid Flash I,https://www.superherodb.com/pictures2/portraits/10/100/690.jpg
Flash IV,63,10,100,32,100,48,Bartholomew Allen II,ImpulseKid Flash II,https://www.superherodb.com/pictures2/portraits/10/100/893.jpg
Forge,63,10,12,28,25,48,,The MakerCheyenne,https://www.superherodb.com/pictures2/portraits/10/100/62.jpg
Franklin Richards,63,80,50,60,100,50,Franklin  Richards,Franklin BenjaminTattletalePsi-LordEgo-SpawnAvatar,https://www.superherodb.com/pictures2/portraits/10/100/63.jpg
Franklin Storm,38,10,1,1,0,10,Dr. Franklin Storm,Franklin Storm was erroneously believed to be the first Invincible Man,https://www.superherodb.com/pictures2/portraits/10/100/170.jpg
Frenzy,63,53,35,100,38,52,Joanna Cargill,-,https://www.superherodb.com/pictures2/portraits/10/100/1108.jpg
Frigga,null,null,null,null,null,null,Frigga,Fricka,https://www.superherodb.com/pictures2/portraits/10/100/172.jpg
Galactus,100,100,83,100,100,50,Galan,MakerDevourer of WorldsEater-of-WorldsRavager of Worlds,https://www.superherodb.com/pictures2/portraits/10/100/862.jpg
Gambit,63,10,23,28,55,84,Remy Etienne LeBeau,DeathLe Diable Blancformerly Robert LordCajun,https://www.superherodb.com/pictures2/portraits/10/100/64.jpg
Gamora,75,85,42,85,53,100,Gamora Zen Whoberi Ben Titan,The Deadliest Woman In The UniverseThe Most Dangerous Woman in the Galaxy,https://www.superherodb.com/pictures2/portraits/10/100/65.jpg
Garbage Man,null,82,null,null,null,null,Richard Ethan Morse,Richard Morse,https://www.superherodb.com/pictures2/portraits/10/100/1467.jpg
Gary Bell,63,5,8,10,54,10,Gary Bell,-,https://www.superherodb.com/pictures2/portraits/10/100/1526.jpg
General Zod,94,100,96,100,100,95,Dru-Zod,Dru-Zod (possible first name),https://www.superherodb.com/pictures2/portraits/10/100/837.jpg
Genesis,null,68,null,null,null,null,Tyler Dayspring,Tolliver,https://www.superherodb.com/pictures2/portraits/10/100/1055.jpg
Ghost Rider,50,55,25,100,100,60,Johnny Blaze,-,https://www.superherodb.com/pictures2/portraits/10/100/67.jpg
Ghost Rider II,null,70,null,null,null,null,Daniel Ketch,-,https://www.superherodb.com/pictures2/portraits/10/100/68.jpg
Giant-Man,null,78,null,null,null,null,Hank Pym,-,https://www.superherodb.com/pictures2/portraits/10/100/858.jpg
Giant-Man II,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/343.jpg
Giganta,81,89,23,85,32,42,Doris Zuel,-,https://www.superherodb.com/pictures2/portraits/10/100/1376.jpg
Gladiator,50,100,100,100,77,70,Kallark,MajestorPraetorCaptain Universe,https://www.superherodb.com/pictures2/portraits/10/100/1521.jpg
Goblin Queen,75,10,23,28,65,56,Madelyne Jennifer Pryor,AnodyneMaddieLyneRedMadelyne Pryor-Summers,https://www.superherodb.com/pictures2/portraits/10/100/1054.jpg
Godzilla,44,100,54,100,100,20,Gojira,Legendary GodzillaKing of the MonstersGigantisMonster Zero-OneGod of DestructionAlpha Predator,https://www.superherodb.com/pictures2/portraits/10/100/10590.jpg
Gog,50,34,47,72,39,56,,Nephut-ShaHassan Kareem,https://www.superherodb.com/pictures2/portraits/10/100/693.jpg
Goku,56,100,75,90,100,100,Kakarot,Ultimate DefenderSayain MonkeySuper SayainZ-FighterSon-GokuLower-Class SayainGoku Son,https://www.superherodb.com/pictures2/portraits/10/100/1284.jpg
Goliath,null,null,null,null,null,null,Erik Josten,-,https://www.superherodb.com/pictures2/portraits/10/100/845.jpg
Goliath,null,null,null,null,null,null,Clint Barton,-,https://www.superherodb.com/pictures2/portraits/10/100/847.jpg
Goliath,null,null,null,null,null,null,Hank Pym,Hank Pym,https://www.superherodb.com/pictures2/portraits/10/100/846.jpg
Goliath IV,null,null,null,null,null,null,William Barrett Foster,Giant-ManBlack Goliath,https://www.superherodb.com/pictures2/portraits/10/100/879.jpg
Gorilla Grodd,81,53,33,70,100,65,Grodd,William DawsonKing GroddGorilla GroddGrodd-Son,https://www.superherodb.com/pictures2/portraits/10/100/694.jpg
Granny Goodness,null,96,null,null,null,null,,Athena,https://www.superherodb.com/pictures2/portraits/10/100/1344.jpg
Gravity,50,32,33,40,69,30,Greg Willis,Protector of the Universe,https://www.superherodb.com/pictures2/portraits/10/100/74.jpg
Greedo,38,10,13,15,31,40,Greedo,-,https://www.superherodb.com/pictures2/portraits/10/100/10468.jpg
Green Arrow,81,12,35,28,39,90,Oliver Queen,The Emerald ArcherBattling Bowman,https://www.superherodb.com/pictures2/portraits/10/100/696.jpg
Green Goblin,100,48,38,60,48,50,Norman Osborn,"NormieGreen GoblinGoblin LordOverlordthe Goblin""Gobby""ScrierCommander OsbornDirector OsbornIron Patriot",https://www.superherodb.com/pictures2/portraits/10/100/579.jpg
Green Goblin II,75,55,37,50,44,26,Harold Osborn,-,https://www.superherodb.com/pictures2/portraits/10/100/25.jpg
Green Goblin III,null,null,null,null,null,null,Barton Hamilton,-,https://www.superherodb.com/pictures2/portraits/10/100/351.jpg
Green Goblin IV,null,null,null,null,null,null,Phillip Benjamin Urich,-,https://www.superherodb.com/pictures2/portraits/10/100/75.jpg
Groot,75,85,33,70,100,64,Groot,The Monster from Planet X; His Divine Majesty King Groot the 23rdMonarch of Planet Xcustodian of the branch worldsruler of all the shadesFlora colossus Information-silk,https://www.superherodb.com/pictures2/portraits/10/100/10017.jpg
Guardian,null,45,null,null,null,null,James Hudson,Weapon AlphaAntiguardVindicatorMacJimmy,https://www.superherodb.com/pictures2/portraits/10/100/76.jpg
Guy Gardner,38,90,53,64,100,64,Guy Gardner,Green LanternRed LanternWarrior,https://www.superherodb.com/pictures2/portraits/10/100/700.jpg
Hal Jordan,69,90,75,80,100,70,Hal Jordan,ParallaxSpectreGreen Lantern,https://www.superherodb.com/pictures2/portraits/10/100/697.jpg
Han Solo,50,10,17,20,43,60,Han Solo,-,https://www.superherodb.com/pictures2/portraits/10/100/10456.jpg
Hancock,63,90,67,100,100,50,John Hancock,-,https://www.superherodb.com/pictures2/portraits/10/100/1109.jpg
Harley Quinn,88,12,33,65,55,80,Harley Quinn,Harleen QuinzelHarlCupid of CrimeJane WisakedjakElise ArcherPumpkin Pooh,https://www.superherodb.com/pictures2/portraits/10/100/701.jpg
Harry Potter,75,7,21,10,100,50,Harry James Potter,Triwizard ChampionSeekerQuidditch CaptainLeader of Dumbledore's ArmyMaster of Death,https://www.superherodb.com/pictures2/portraits/10/100/10878.jpg
Havok,63,10,25,60,71,45,Alexander Summers,Mutant XGoblin Prince,https://www.superherodb.com/pictures2/portraits/10/100/77.jpg
Hawk,38,38,35,95,43,42,Henry Hall,MonarchExtant,https://www.superherodb.com/pictures2/portraits/10/100/1382.jpg
Hawkeye,56,12,21,10,29,80,Clint Barton,RoninGoliathGolden Archerthe MarksmanFather TimeLongbow,https://www.superherodb.com/pictures2/portraits/10/100/73.jpg
Hawkeye II,50,6,8,10,24,50,Katherine Elizabeth Bishop,Kate Bishop,https://www.superherodb.com/pictures2/portraits/10/100/10043.jpg
Hawkgirl,50,28,53,99,96,72,Kendra Saunders,Chay-Ara; Sheila Carr; Lady Celia PenbrookKate Manser; Shiera Sanders,https://www.superherodb.com/pictures2/portraits/10/100/703.jpg
Hawkman,null,66,null,null,null,null,Carter Hall,-,https://www.superherodb.com/pictures2/portraits/10/100/839.jpg
Hawkwoman,null,96,null,null,null,null,Shayera Hol,Shayera HallHawkgirl,https://www.superherodb.com/pictures2/portraits/10/100/702.jpg
Hawkwoman II,null,null,null,null,null,null,Sharon Parker,-,https://www.superherodb.com/pictures2/portraits/10/100/1129.jpg
Hawkwoman III,null,92,null,null,null,null,Shayera Thal,-,https://www.superherodb.com/pictures2/portraits/10/100/1130.jpg
Heat Wave,38,10,17,45,27,30,Mick Rory,Rory Calhoun,https://www.superherodb.com/pictures2/portraits/10/100/705.jpg
Hela,63,100,46,100,100,45,,Goddess of Death,https://www.superherodb.com/pictures2/portraits/10/100/10835.jpg
Hellboy,63,53,21,95,73,75,Anung Un Rama,World DestroyerThe Great Beast,https://www.superherodb.com/pictures2/portraits/10/100/813.jpg
Hellcat,63,11,33,45,46,70,Patricia Walker,Patsy WalkerPatricia HellstromThe Cat,https://www.superherodb.com/pictures2/portraits/10/100/79.jpg
Hellstorm,null,56,null,null,null,null,Daimon Hellstrom,AntichristBlack Halothe DevilKing of HellPrince of LiesSatanSon of Satan.,https://www.superherodb.com/pictures2/portraits/10/100/80.jpg
Hercules,63,100,46,85,89,100,Heracles,Spider-HercThe Lion of OlympusThe Defender of OlympusThe Scion of OlympusPrince of PowerAlcaeusHeraklesHercHarry CleeseVictor TeglerAgent 74,https://www.superherodb.com/pictures2/portraits/10/100/78.jpg
Hiro Nakamura,null,15,null,null,null,null,Hiro Nakamura,Jotaro KujoTakezo Kensei,https://www.superherodb.com/pictures2/portraits/10/100/947.jpg
Hit-Girl,56,7,29,20,27,65,Mindy McCready,Hit GirlHitgirl,https://www.superherodb.com/pictures2/portraits/10/100/1336.jpg
Hobgoblin,null,53,null,null,null,null,Roderick Kingsley,-,https://www.superherodb.com/pictures2/portraits/10/100/896.jpg
Hollow,null,null,null,null,null,null,Monet St. Croix,PenaceMMonet St. CroixPennyYvette,https://www.superherodb.com/pictures2/portraits/10/100/931.jpg
Hope Summers,63,10,12,32,93,75,Hope Summers,Mutant MessiahMessiah ChildHubThroat SlicerLittle GirlLittle Momma,https://www.superherodb.com/pictures2/portraits/10/100/1351.jpg
Howard the Duck,null,44,null,null,null,null,Howard (Last name unrevealed),DuckmanIron DuckPondhopperShang-OpCheap DucktectiveDuckboyDark Mallard of the Night,https://www.superherodb.com/pictures2/portraits/10/100/82.jpg
Hulk,88,100,63,100,98,85,Bruce Banner,AnnihilatorCaptain UniverseJoe FixitMr. FixitMechanoProfessorJade JawsGolly Green Giant,https://www.superherodb.com/pictures2/portraits/10/100/83.jpg
Human Torch,63,11,63,70,87,42,Johnny Storm,Matchstick JohnnyDoug Brown,https://www.superherodb.com/pictures2/portraits/10/100/362.jpg
Huntress,69,10,23,28,34,95,Helena Rosa Bertinelli,BatgirlSicilianMafia Princess,https://www.superherodb.com/pictures2/portraits/10/100/707.jpg
Husk,63,63,35,78,48,64,Paige Elisabeth Guthrie,Hayseed,https://www.superherodb.com/pictures2/portraits/10/100/84.jpg
Hybrid,63,63,58,75,100,80,Scott Washington,"Guardsman Number SixTerror of BrooklynRiot ,Phage LasherAgony",https://www.superherodb.com/pictures2/portraits/10/100/10493.jpg
Hydro-Man,38,13,25,80,66,50,Morris Bench,Morrie,https://www.superherodb.com/pictures2/portraits/10/100/1451.jpg
Hyperion,88,100,100,95,87,80,Mark Milton,Mark MiltonZhib-RanMr. KantMarcus Milton,https://www.superherodb.com/pictures2/portraits/10/100/1286.jpg
Iceman,63,32,53,100,100,64,Bobby Drake,Bobby DrakeMister FrieseDrake RobertsRampageFrozen OneIceface,https://www.superherodb.com/pictures2/portraits/10/100/816.jpg
Impulse,50,10,100,60,74,60,Bartholomew Allen II,Flash IVKid Flash II,https://www.superherodb.com/pictures2/portraits/10/100/895.jpg
Indiana Jones,69,10,17,30,19,30,Indiana Jones,Indy,https://www.superherodb.com/pictures2/portraits/10/100/10560.jpg
Indigo,75,63,50,50,100,50,Iroque,Indigo-1,https://www.superherodb.com/pictures2/portraits/10/100/708.jpg
Ink,38,28,17,40,73,50,Eric Gitter,-,https://www.superherodb.com/pictures2/portraits/10/100/10337.jpg
Invisible Woman,88,10,27,85,93,56,Susan Storm Richards,Invisible Girl,https://www.superherodb.com/pictures2/portraits/10/100/620.jpg
Iron Fist,75,55,33,50,95,100,Danny Rand,DaredevilDaniel Thomas Randthe Living WeaponYoung DragonDanny Rand,https://www.superherodb.com/pictures2/portraits/10/100/1120.jpg
Iron Man,100,85,58,85,100,64,Tony Stark,Iron KnightHogan PottsSpare Parts ManCobalt Man IICrimson DynamoIronman,https://www.superherodb.com/pictures2/portraits/10/100/85.jpg
Iron Monger,88,63,25,90,57,56,Obadiah Stane,-,https://www.superherodb.com/pictures2/portraits/10/100/886.jpg
Isis,75,48,75,46,50,56,Adrianna Tomaz,-,https://www.superherodb.com/pictures2/portraits/10/100/1164.jpg
Jack Bauer,null,43,null,null,null,null,Kiefer Sutherland,-,https://www.superherodb.com/pictures2/portraits/10/100/1203.jpg
Jack of Hearts,63,55,100,30,77,30,Jonathan Hart,-,https://www.superherodb.com/pictures2/portraits/10/100/86.jpg
Jack-Jack,6,34,67,80,100,6,Jack-Jack Parr,-,https://www.superherodb.com/pictures2/portraits/10/100/871.jpg
James Bond,88,13,17,35,25,90,James Bond,007Commander Bond,https://www.superherodb.com/pictures2/portraits/10/100/10404.jpg
James T. Kirk,69,11,17,30,30,75,James T. Kirk,JimCaptain Kirk,https://www.superherodb.com/pictures2/portraits/10/100/10565.jpg
Jar Jar Binks,10,6,33,10,21,15,Jar Jar Binks,-,https://www.superherodb.com/pictures2/portraits/10/100/10563.jpg
Jason Bourne,88,12,29,30,26,100,Jason Bourne,-,https://www.superherodb.com/pictures2/portraits/10/100/10477.jpg
Jean Grey,94,80,21,20,92,70,Jean Grey,Redd DayspringMarvel Girl,https://www.superherodb.com/pictures2/portraits/10/100/814.jpg
Jean-Luc Picard,75,10,17,30,26,65,Jean-Luc Picard,Locutus,https://www.superherodb.com/pictures2/portraits/10/100/10567.jpg
Jennifer Kale,75,10,35,42,74,72,Jennifer Kale,Wendy the Good Little Witch,https://www.superherodb.com/pictures2/portraits/10/100/1321.jpg
Jesse Quick,null,42,null,null,null,null,Jesse Chambers,-,https://www.superherodb.com/pictures2/portraits/10/100/10544.jpg
Jessica Cruz,56,90,46,50,100,55,Jessica Cruz,Green LanternPower Ring,https://www.superherodb.com/pictures2/portraits/10/100/10650.jpg
Jessica Jones,56,44,50,70,18,55,Jessica Campbell Jones Cage,KnightressMadelineJewelPower Woman,https://www.superherodb.com/pictures2/portraits/10/100/10403.jpg
Jessica Sanders,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1029.jpg
Jigsaw,null,null,null,null,null,null,Billy Russo,Billy the BeautJigsaw Punisher,https://www.superherodb.com/pictures2/portraits/10/100/887.jpg
Jim Powell,38,38,23,80,23,20,Jim Powell,-,https://www.superherodb.com/pictures2/portraits/10/100/1354.jpg
JJ Powell,88,10,8,10,14,10,JJ Powell,-,https://www.superherodb.com/pictures2/portraits/10/100/1357.jpg
Johann Krauss,null,30,null,null,null,null,Johann Krauss,-,https://www.superherodb.com/pictures2/portraits/10/100/1121.jpg
John Constantine,63,10,8,40,54,65,John Constantine,Hellblazer,https://www.superherodb.com/pictures2/portraits/10/100/718.jpg
John Stewart,56,85,42,64,100,65,John Stewart,Green Lantern,https://www.superherodb.com/pictures2/portraits/10/100/873.jpg
John Wraith,75,12,35,28,87,80,John Wraith,Wraith-ManKestrelExpediterGuardianVindicator,https://www.superherodb.com/pictures2/portraits/10/100/1314.jpg
Joker,100,10,12,60,43,70,Jack Napier,Red Hood IClown Prince of CrimeHarlequin of HateJack NapierJoe KerrMr. J,https://www.superherodb.com/pictures2/portraits/10/100/719.jpg
Jolt,63,12,27,32,31,42,Helen Takahama,Holly TsurutaHallie Shimosato,https://www.superherodb.com/pictures2/portraits/10/100/1323.jpg
Jubilee,56,8,22,20,66,90,Jubilation Lee,Jubes,https://www.superherodb.com/pictures2/portraits/10/100/87.jpg
Judge Dredd,75,18,38,50,52,95,Joseph Dredd,The Dead ManJoe,https://www.superherodb.com/pictures2/portraits/10/100/1163.jpg
Juggernaut,44,100,42,100,85,70,Cain Marko,KuurthCaptain Universe,https://www.superherodb.com/pictures2/portraits/10/100/826.jpg
Junkpile,50,38,17,90,81,30,,-,https://www.superherodb.com/pictures2/portraits/10/100/10002.jpg
Justice,50,10,33,70,55,30,Vance Astrovik,"Marvel BoyManglin' John MahoneyAstounding AstrovikSuperhuman Penitentiary Prisoner 344678""Super Tights""",https://www.superherodb.com/pictures2/portraits/10/100/88.jpg
Jyn Erso,null,null,null,null,null,null,Jyn Erso,-,https://www.superherodb.com/pictures2/portraits/10/100/10562.jpg
K-2SO,null,null,null,null,null,null,,Kaytoo EssoKay-Tuesso,https://www.superherodb.com/pictures2/portraits/10/100/10643.jpg
Kang,100,48,58,70,100,70,Nathaniel Richards,Blue ManVictor TimelyBlue TotemScarlet CenturionRama-TutKing of KingsMaster of MenLord of the Seven Suns,https://www.superherodb.com/pictures2/portraits/10/100/1053.jpg
Kathryn Janeway,75,8,21,25,21,50,Kathryn Janeway,-,https://www.superherodb.com/pictures2/portraits/10/100/10581.jpg
Katniss Everdeen,56,8,21,25,24,55,Katniss Everdeen,-,https://www.superherodb.com/pictures2/portraits/10/100/10484.jpg
Kevin 11,25,7,12,14,100,40,Kevin Ethan Levin,"Kevin 11,000CurtisOsmosianKevKevin EthanLevinUltimate KevinDoofusAn Empty ShellKevin E. Levin",https://www.superherodb.com/pictures2/portraits/10/100/1408.jpg
Kick-Ass,38,10,23,35,22,56,Dave Lizewski,Kickass,https://www.superherodb.com/pictures2/portraits/10/100/1158.jpg
Kid Flash,25,4,92,42,20,30,Wallace Rudolph West,Kid Lantern,https://www.superherodb.com/pictures2/portraits/10/100/722.jpg
Kid Flash II,null,47,null,null,null,null,Bartholomew Allen II,-,https://www.superherodb.com/pictures2/portraits/10/100/894.jpg
Killer Croc,19,53,35,90,53,60,Waylon Jones,-,https://www.superherodb.com/pictures2/portraits/10/100/723.jpg
Killer Frost,88,10,13,35,59,30,Caitlin Snow,-,https://www.superherodb.com/pictures2/portraits/10/100/10508.jpg
